Marker,CellType,,,,
NCAM1,NK,,,,
FCGR3A,NK,,,,
KIR3DL2,NK,,,,
IL18RAP,NK,,,,
KLRF1,NK,,,,
VIM,Monocytes,,,,
CD14,Monocytes,,,,
FCGR3A,Monocytes,,,,
CD33,Monocytes,,,,
ITGAX,Monocytes,,,,
ITGAM,Monocytes,,,,
CD4,Monocytes,,,,
PTPRC,Monocytes,,,,
LYZ,Monocytes,,,,
CD19,Bcell,,,,
MS4A1,Bcell,,,,
CD79A,Bcell,,,,
CD79B,Bcell,,,,
CD74,Bcell,,,,
CXCR5,Bcell,,,,
CD3D,Tcell,,,,
CD3E,Tcell,,,,
CD3G,Tcell,,,,
CD2,CD4Thelper,,,,
CD3D,CD4Thelper,,,,
CD3E,CD4Thelper,,,,
CD3G,CD4Thelper,,,,
TRAC,CD4Thelper,,,,
CD4,CD4Thelper,,,,
CXCR5,CD4Thelper,,,,
PDCD1,CD4Thelper,,,,
TNFRSF4,CD4Thelper,,,,
ST8SIA1,CD4Thelper,,,,
ICOS,CD4Thelper,,,,
ICA1,CD4Thelper,,,,
CD8A,CD8T,,,,
CD8B,CD8T,,,,
CD2,CD8T,,,,
CD3D,CD8T,,,,
CD3E,CD8T,,,,
CD3G,CD8T,,,,
CCL5,CD8T,,,,
EOMES,CD8T,,,,
NKG7,CD8T,,,,
GZMA,CD8T,,,,
TRAC,CD8T,,,,
IL3RA,Dentritic,,,,
CD1C,Dentritic,,,,
BATF3,Dentritic,,,,
THBD,Dentritic,,,,
CD209,Dentritic,,,,
