method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,batch_effects_amount,batch_effects_removed,assigned
scmap_cluster...1,0.04301235562168473,0.11782713913867561,0.37990488780279213,0.8831475852752448,4,0.8831475852752448,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
scmap_cell...2,0.13647298552348244,0.2579336426006813,0.34615789455976853,0.4154002026342452,6,0.4154002026342452,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
chetah...3,0.2413950686302204,0.3661165516886215,0.4183852637974978,0.3475177304964539,6,0.3951367781155015,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
singlecellnet...4,0.21819079947294787,0.38266199512200966,0.4901965422301047,3.3772374197906115e-4,6,0.7213779128672746,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
garnett...5,0.07963798748164852,0.19080078447165646,0.29358905351620224,0.4998311381290105,6,0.4998311381290105,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
singleR...6,0.2172858195776639,0.37092888948162656,0.48497625777317943,0.003377237419790611,6,0.7112462006079028,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
cellassign...7,0.34929925960231,0.5187264419878274,0.47349160506188487,0.37656197230665317,8,0.37656197230665317,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,NA
scmap_cluster...8,0.9806160892012376,0.6955873196214961,0.9970650824279669,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,TRUE
scmap_cell...9,0.9806160892012376,0.6955873196214961,0.9970650824279669,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,TRUE
chetah...10,0.9806160892012376,0.6955873196214961,0.9970650824279669,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8920681447759645,1.6408641369006336,0.07157846974079746,0.0611139470251262,8,0.4103177314656645,0.9658568741809688,2927,17631,PBMC_AllCells_withLabels,0.9459134290866236,1.9791732004479081,0.07957574726334297,0.026827746582723605,8,0.17662951705504898,0.9662907227339798,2961,17631,735.447146316415,FALSE,TRUE
