method,ARI,AMI,FMI,unlabeled_pctg,supervised,train_dataset,test_dataset,batch_effects_removed,assigned
scmap_cluster...1,0.10898443021221439,0.28631494272135327,0.3568307855285522,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
scmap_cell...2,0.13033179657925337,0.29373033527403314,0.3265050965849086,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
chetah...3,0.30584668118650976,0.4725287200280443,0.41333704457316855,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
singlecellnet...4,0.27359538883313006,0.48172130002120406,0.4899458760894385,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
garnett...5,0.2630618076607136,0.44041142239413233,0.47064907606857054,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
cellassign...6,0.2750996702137911,0.4563547390444434,0.5002222929938972,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
scmap_cluster...7,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
scmap_cell...8,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
chetah...9,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
singlecellnet...10,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
garnett...11,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
cellassign...12,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
scmap_cluster...13,0.10898443021221439,0.28631494272135327,0.3568307855285522,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
scmap_cell...14,0.13033179657925337,0.29373033527403314,0.3265050965849086,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
chetah...15,0.30584668118650976,0.4725287200280443,0.41333704457316855,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
singlecellnet...16,0.27359538883313006,0.48172130002120406,0.4899458760894385,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
garnett...17,0.2630618076607136,0.44041142239413233,0.47064907606857054,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
cellassign...18,0.2750996702137911,0.4563547390444434,0.5002222929938972,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
scmap_cluster...19,0.03835604818565696,0.10435011758875613,0.35123138568501644,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
scmap_cell...20,0.36891852024886923,0.44877358505312165,0.5225681957083032,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
chetah...21,0.19744102722733053,0.31605348431367136,0.33402011107467766,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
singlecellnet...22,0.4442882545308064,0.5205554095951432,0.552738940057662,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
garnett...23,0.08386036748207737,0.24247803420064656,0.27937835444814935,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
