method,ARI,AMI,FMI,unlabeled_pctg,supervised,train_dataset,test_dataset,batch_effects_removed,assigned
scmap_cluster...1,0.07993105959985279,0.1917433707353544,0.35544557062597876,0.7146234380276933,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
scmap_cell...2,0.15527616233578156,0.28220758291765535,0.35884799483086643,0.38095238095238093,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
chetah...3,0.22957863199978296,0.36299090256130123,0.42990197478955017,0.21648091860857818,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
singlecellnet...4,0.22094791723282192,0.3915251200285646,0.49308652196959135,0.0010131712259371835,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
cellassign...5,0.2688939202500803,0.479072624250735,0.47511329342839415,0.585950692333671,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
scmap_cluster...6,0.9942026821791685,0.9375652386301729,0.9980433244705592,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
scmap_cell...7,0.9926190907076827,0.9375652386301717,0.9975048010131891,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
chetah...8,0.9942026821791685,0.9375652386301729,0.9980433244705592,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
singlecellnet...9,0.9942026821791685,0.9375652386301729,0.9980433244705592,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
cellassign...10,1,1,1,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
scmap_cluster...11,0.0334099887236806,0.11225720557924836,0.34001892452061755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
scmap_cell...12,0.10419699761358728,0.21141485433894783,0.3337169465748,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
chetah...13,0.1719070827352487,0.3011476165022182,0.39730591954755573,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
singlecellnet...14,0.17062563419747553,0.3354398850364101,0.4708207987705206,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
cellassign...15,0.20803605035662548,0.42530317040376864,0.44299944733451346,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
scmap_cluster...16,0.01799980875856285,0.03619383456512273,0.4925619280335405,0.9576358045780663,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
scmap_cell...17,0.5417921356661924,0.49179936275586594,0.6938524481523198,0.5363853775196447,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
chetah...18,0.2009968522467589,0.2305670219297731,0.541356265933284,0.7796378544584899,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
singlecellnet...19,0.5060732160577185,0.5815120364753582,0.6216025117029511,0.11206012982576016,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
