method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,batch_effects_amount,batch_effects_removed,assigned
scmap_cluster...1,0.9714797562413391,0.9328026230868693,0.9789716833232163,0.018645731108930325,7,0.4278704612365064,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
scmap_cell...2,0.9017768458390987,0.8543565549069794,0.9276656398235602,0.06771344455348381,7,0.40382728164867515,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
chetah...3,0.41867078768763666,0.45474776694774527,0.6721149022643087,0.7188420019627085,4,0.7188420019627085,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
singlecellnet...4,0.9731076241008808,0.954120349778564,0.9802346673952176,0,6,0.4391560353287537,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
garnett...5,0.42691839846107293,0.47802089472929776,0.5926918556904773,0.5132482826300294,7,0.5132482826300294,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
singleR...6,0.9845653826974499,0.971019389441046,0.9886222851450542,0,6,0.43473994111874387,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
cellassign...7,0.970099357806668,0.9457728671529467,0.9779409057304425,0.001962708537782139,7,0.4254170755642787,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
scmap_cluster...8,1,1,1,NA,NA,NA,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
scmap_cell...9,1,1,1,NA,NA,NA,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
chetah...10,0.9778452725168533,0.9535327552624273,0.990381704351983,NA,NA,NA,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
