method,ARI,AMI,FMI,unlabeled_pctg,supervised,batch_effects_removed,assigned
scmap_cluster...1,0.6329753028258346,0.6343063100129931,0.7385707827310173,0.26099002585888437,TRUE,FALSE,NA
scmap_cell...2,0.804841857445122,0.7123907043038695,0.8626831728436661,0.16457332840783154,TRUE,FALSE,NA
chetah...3,0.662382497136326,0.5909952824470441,0.7575614115838539,0.2305134835611378,TRUE,FALSE,NA
singlecellnet...4,0.9693921746717714,0.9208904070246209,0.9785946889909035,0.003140007388252678,TRUE,FALSE,NA
garnett...5,0.10811496962121032,0.19052434171181523,0.3753345081104316,0.44994458810491317,TRUE,FALSE,NA
cellassign...6,-0.008288157113706172,0.0046926990290785085,0.29258631820428893,0,TRUE,FALSE,NA
scmap_cluster...7,0.9752692996061505,0.9436615376418565,0.984931854038512,NA,TRUE,FALSE,TRUE
scmap_cell...8,0.9675166501562513,0.9228885274919205,0.98039372480219,NA,TRUE,FALSE,TRUE
chetah...9,0.9767076969216716,0.9207391838644995,0.9857561768536254,NA,TRUE,FALSE,TRUE
singlecellnet...10,0.9942431102282845,0.9762666091596067,0.9964839325952562,NA,TRUE,FALSE,TRUE
garnett...11,0.1706741355520188,0.2470308496909543,0.45805892046092883,NA,TRUE,FALSE,TRUE
cellassign...12,-0.002941533658920083,0.010398614483999053,0.31895047358834583,NA,TRUE,FALSE,TRUE
scmap_cluster...13,0.5172891503727297,0.5759413760133741,0.6554489707568023,NA,TRUE,FALSE,FALSE
scmap_cell...14,0.7355223957759961,0.6627250537541242,0.8108814926476529,NA,TRUE,FALSE,FALSE
chetah...15,0.5642574891035178,0.5447248892723107,0.6786459901879536,NA,TRUE,FALSE,FALSE
singlecellnet...16,0.9616384611030216,0.9088116143644446,0.972696463316834,NA,TRUE,FALSE,FALSE
garnett...17,0.1785137702291053,0.19357113876573115,0.46172972237131293,NA,TRUE,FALSE,FALSE
cellassign...18,-0.006883974184115079,0.004827102793955273,0.2924950526178881,NA,TRUE,FALSE,FALSE
chetah...19,0.8999147500886242,0.8024204186700228,0.9300362047028287,0.061691909863317324,TRUE,TRUE,NA
garnett...20,0.012088597559878022,0.08342468119749913,0.32994225004344585,0.3764314739564093,TRUE,TRUE,NA
cellassign...21,0,0,0.5489788583954142,0,TRUE,TRUE,NA
chetah...22,0.9798208311508535,0.9504258567288626,0.9867768567457387,NA,TRUE,TRUE,TRUE
garnett...23,-0.004879297698492378,0.09860081710459771,0.4221639087075306,NA,TRUE,TRUE,TRUE
cellassign...24,0,0,0.5881250455432412,NA,TRUE,TRUE,TRUE
chetah...25,0.7920692886391627,0.7189074316860198,0.847281318569782,NA,TRUE,TRUE,FALSE
garnett...26,0.0037784362138360734,0.027636925049630934,0.45976851510022204,NA,TRUE,TRUE,FALSE
cellassign...27,0,-5.739419536860569e-16,0.5119241125554277,NA,TRUE,TRUE,FALSE
seurat...28,0.3943180539978955,0.5234403568025733,0.5574435311290505,NA,FALSE,FALSE,NA
tscan...29,0.2026341428916844,0.33702221028205664,0.383995830705986,NA,FALSE,FALSE,NA
sc3...30,0.26911724536635656,0.4015218315767214,0.43739174294346916,NA,FALSE,FALSE,NA
liger...31,0.2327569759361144,0.4038401780220916,0.40597648530191704,NA,FALSE,FALSE,NA
seurat...32,0.4485396772968772,0.5458532307737869,0.5875232737463093,NA,FALSE,FALSE,TRUE
tscan...33,0.1960238203915032,0.3433299409278198,0.37414850793038845,NA,FALSE,FALSE,TRUE
sc3...34,0.35304976435364016,0.4878085730432974,0.5023667604142446,NA,FALSE,FALSE,TRUE
liger...35,0.31515194749647746,0.4438562925281599,0.4699956833338594,NA,FALSE,FALSE,TRUE
seurat...36,0.4047869348421758,0.5261521885009852,0.5698644091054003,NA,FALSE,FALSE,FALSE
tscan...37,0.21266065214442148,0.34168514964492314,0.39730652321896615,NA,FALSE,FALSE,FALSE
sc3...38,0.25993812887444134,0.3900254183888521,0.43331585290326574,NA,FALSE,FALSE,FALSE
liger...39,0.22457200971292413,0.40148145421740433,0.40320879078436134,NA,FALSE,FALSE,FALSE
seurat...40,0.42468835599872956,0.586649491626774,0.5856528813223415,NA,FALSE,TRUE,NA
tscan...41,0.5404341245269901,0.6146996123492883,0.6683226559185496,NA,FALSE,TRUE,NA
seurat...42,0.47741738271777817,0.5949485900924989,0.6367581824484477,NA,FALSE,TRUE,TRUE
tscan...43,0.5371201837867579,0.5865545404263901,0.6775287392674212,NA,FALSE,TRUE,TRUE
seurat...44,0.49418318162668284,0.6235390645601737,0.629407912401708,NA,FALSE,TRUE,FALSE
tscan...45,0.5706155997305496,0.6539117517398455,0.6788295979507474,NA,FALSE,TRUE,FALSE
