method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
scmap_cluster...1,0.6124439495185895,0.6626502822004435,0.7385244359565407,0.355225988700565,6,0.4216101694915254,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
scmap_cell...2,0.9478222354755695,0.8834627373309539,0.9650096320412797,0.05155367231638418,7,0.481638418079096,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
chetah...3,0.8926768820243229,0.8451047571431196,0.9279231160223804,0.06073446327683616,9,0.4548022598870056,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
singlecellnet...4,0.9760210549826164,0.9480822269540685,0.9840257980200142,0,8,0.4971751412429379,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
garnett...5,0.2588505684568278,0.3446282201826629,0.4478877603829057,0.2584745762711864,9,0.2584745762711864,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
singleR...6,0.9800771880665934,0.9603810823294047,0.986692097174629,0,7,0.4943502824858757,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
cellassign...7,0.9852866983350759,0.9681190388187051,0.9901630895782771,0,8,0.4936440677966102,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,NA
scmap_cluster...8,1,1,1,NA,NA,NA,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,TRUE
scmap_cell...9,1,1,1,NA,NA,NA,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,TRUE
chetah...10,1,1,1,NA,NA,NA,TRUE,ADASD_AD,0.5448826079887391,1.357181637901379,0.08246387323550745,0.18741282151425542,8,0.4946971482441669,0.904980360312384,4243,17923,ADASD_AD,0.5180321628169902,1.3602248463809081,0.08285443285164314,0.2106511186743291,8,0.4943502824858757,0.9021636340768466,1416,17923,0.02,TRUE
