method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
scmap_cluster...1,0.45582578487593245,0.6041367757473465,0.5883638248709985,0.3540197461212976,8,0.3540197461212976,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
scmap_cell...2,0.4873932482594645,0.570078770364337,0.6144726213607037,0.32863187588152326,8,0.32863187588152326,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
chetah...3,0.5056133350469983,0.5212271996919692,0.6161971850087793,0.14950634696755993,9,0.2750352609308886,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
singlecellnet...4,0.8607036658596628,0.7788344359097792,0.8986149800150474,0.0014104372355430183,8,0.44710860366713684,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
garnett...5,0.06113247770982751,0.29277106394339464,0.3181874596193385,0.5162200282087447,8,0.5162200282087447,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
singleR...6,0.8212113109946423,0.7464230581712366,0.8684113250098077,0,8,0.4400564174894217,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
cellassign...7,0.7080317231945669,0.6545006953393442,0.792649795269843,0,8,0.461212976022567,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,NA
scmap_cluster...8,0.892795086149026,0.8632518160777137,0.9240341380970446,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
scmap_cell...9,0.9074019716112546,0.8778986148719332,0.9357320129565614,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
chetah...10,0.7924805822572281,0.7105614387986817,0.850508882715631,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
