method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
scmap_cluster...1,0.42493078821504937,0.5270690780895345,0.574457880046046,0.36857142857142855,7,0.36857142857142855,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
scmap_cell...2,0.3075569157924484,0.49109912551766016,0.4914238560336994,0.42714285714285716,8,0.42714285714285716,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
chetah...3,0.3093048917870903,0.4606796582319349,0.4535175617059567,0.26,9,0.26,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
singlecellnet...4,0.8212320357340371,0.7715895008651761,0.8683727946761676,0.004285714285714286,9,0.4585714285714286,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
garnett...5,-0.024567215893654477,0.16880748153606104,0.31517216894480704,0.6371428571428571,7,0.6371428571428571,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
singleR...6,0.73804556812394,0.7153172973104857,0.8151269156825259,0,8,0.51,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
cellassign...7,0.6085975340307945,0.6056250761688942,0.7366425041831788,0,7,0.5457142857142857,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,NA
scmap_cluster...8,0.7485540113937371,0.7266505007379659,0.9359580052493438,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
scmap_cell...9,0.7884281102557735,0.6907268602566536,0.9544880018981775,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
chetah...10,0.29703084471745034,0.3751137018999141,0.6833661964525263,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
singlecellnet...11,0.9319836844665644,0.8693620722110015,0.98358075114045,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
