method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
scmap_cluster...1,0.9332648242715577,0.8905992960829122,0.949314548545868,0.008547008547008548,8,0.38095238095238093,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
scmap_cell...2,0.924410298001492,0.8681746684123163,0.9427786476034724,0.0463980463980464,8,0.38095238095238093,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
chetah...3,0.8407325776858237,0.7662153319332943,0.8789001076243231,0.042735042735042736,8,0.35775335775335776,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
singlecellnet...4,0.9890530123740573,0.9777029680936332,0.9917108188234742,0,7,0.398046398046398,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
garnett...5,0.32536033484908067,0.5088919359387694,0.46939609415352973,0.3235653235653236,8,0.3235653235653236,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
singleR...6,0.9688480499273252,0.9485219516996084,0.9763742813291714,0,7,0.39194139194139194,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
cellassign...7,0.9300898612913184,0.8968909657594311,0.9468867309525246,0,7,0.38217338217338215,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,NA
scmap_cluster...8,0.9966828782035747,0.9935513362368521,0.9974298866289893,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,TRUE
scmap_cell...9,0.9966828782035747,0.9935513362368521,0.9974298866289893,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,TRUE
chetah...10,0.9319548145706947,0.9039297324897373,0.9471724470739028,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,TRUE
