method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
scmap_cluster...1,0.9471706171985033,0.8531648948025198,0.9724213821651774,0.03468208092485549,TRUE,0.4,NA
scmap_cell...2,0.8512463710649156,0.7484150779862542,0.9212008222528186,0.09826589595375723,TRUE,0.4,NA
chetah...3,0.8589225939442653,0.7680573002214278,0.924731751864727,0.057803468208092484,TRUE,0.4,NA
singlecellnet...4,1,1,1,0,TRUE,0.4,NA
garnett...5,0.3110084017634291,0.3474968651467689,0.5730263163280712,0.2947976878612717,TRUE,0.4,NA
cellassign...6,0.9924629352505449,0.9661563067435173,0.9961067705356522,0.005780346820809248,TRUE,0.4,NA
scmap_cluster...7,1,1,1,NA,TRUE,0.4,TRUE
scmap_cell...8,0.9380143332714551,0.858846432237833,0.975713069846071,NA,TRUE,0.4,TRUE
chetah...9,0.9690810383032329,0.9230689504747662,0.9871419475502553,NA,TRUE,0.4,TRUE
singlecellnet...10,1,1,1,NA,TRUE,0.4,TRUE
garnett...11,0.5818698270929072,0.5499982325070814,0.7952070038692053,NA,TRUE,0.4,TRUE
cellassign...12,1,1,1,NA,TRUE,0.4,TRUE
scmap_cluster...13,0.884590934920771,0.7729233271204101,0.9298560622305874,NA,TRUE,0.4,FALSE
scmap_cell...14,0.735441281083643,0.6877091202998069,0.8358453829049212,NA,TRUE,0.4,FALSE
chetah...15,0.7879568534197109,0.7378059523236427,0.8693960288806132,NA,TRUE,0.4,FALSE
singlecellnet...16,1,1,1,NA,TRUE,0.4,FALSE
garnett...17,0.1769128211815667,0.315552093430557,0.5516502023136468,NA,TRUE,0.4,FALSE
cellassign...18,0.9760100897956283,0.9410723617650055,0.9856107606091623,NA,TRUE,0.4,FALSE
scmap_cluster...19,0.9144857598096818,0.7942428054554741,0.955199151529826,0.05019305019305019,TRUE,0.6,NA
scmap_cell...20,0.8584164422491324,0.7390009026179523,0.925108783031609,0.10038610038610038,TRUE,0.6,NA
chetah...21,0.845210005404942,0.7575193702881226,0.9173516637213756,0.06177606177606178,TRUE,0.6,NA
singlecellnet...22,0.9949670292935435,0.9753383377875264,0.9974098013853095,0.003861003861003861,TRUE,0.6,NA
garnett...23,0.25493639767803855,0.2990167111850415,0.5380920935988996,0.3436293436293436,TRUE,0.6,NA
cellassign...24,0.9751412163855416,0.946449417645395,0.987249991210317,0,TRUE,0.6,NA
scmap_cluster...25,0.9770380497295308,0.9351240170198657,0.9910312247041029,NA,TRUE,0.6,TRUE
scmap_cell...26,0.9543114691849235,0.8861377653764625,0.9824745686020461,NA,TRUE,0.6,TRUE
chetah...27,0.9772457728178756,0.9378914997209685,0.9908707235069415,NA,TRUE,0.6,TRUE
singlecellnet...28,1,1,1,NA,TRUE,0.6,TRUE
garnett...29,0.5304789743607738,0.5275212146781474,0.7687517568725042,NA,TRUE,0.6,TRUE
cellassign...30,0.9770380497295308,0.9351240170198657,0.9910312247041029,NA,TRUE,0.6,TRUE
scmap_cluster...31,0.843207208157779,0.7266953583704602,0.9048430928219776,NA,TRUE,0.6,FALSE
scmap_cell...32,0.7445337080920219,0.6715687036716667,0.8427755292642727,NA,TRUE,0.6,FALSE
chetah...33,0.7771004274890149,0.7186265702543613,0.8634943697170588,NA,TRUE,0.6,FALSE
singlecellnet...34,0.9859324046420587,0.9595364843193944,0.9916484256696358,NA,TRUE,0.6,FALSE
garnett...35,0.13348269153467307,0.2175551020374039,0.5489765310394117,NA,TRUE,0.6,FALSE
cellassign...36,0.969683603502297,0.9567587535804586,0.9820184720467929,NA,TRUE,0.6,FALSE
scmap_cluster...37,0.9247758584913999,0.8103628526747039,0.9607268679293398,0.043478260869565216,TRUE,0.8,NA
scmap_cell...38,0.8207574816435708,0.7019967625660208,0.9048897525136861,0.10144927536231885,TRUE,0.8,NA
chetah...39,0.8658754314528211,0.7797073464469967,0.9288704693316923,0.057971014492753624,TRUE,0.8,NA
singlecellnet...40,0.996222114149233,0.9804035418314385,0.9980593272533212,0.002898550724637681,TRUE,0.8,NA
garnett...41,0.2610575462907901,0.3133571590279934,0.5402821279064082,0.32753623188405795,TRUE,0.8,NA
cellassign...42,0.9807124844546256,0.9574360030769706,0.990156600791964,0.002898550724637681,TRUE,0.8,NA
scmap_cluster...43,0.9832383974571304,0.9516507099213593,0.993305245693224,NA,TRUE,0.8,TRUE
scmap_cell...44,0.9501208938281646,0.8816761206345826,0.9805825386438033,NA,TRUE,0.8,TRUE
chetah...45,0.9833397782545658,0.9530195393201175,0.9932183663519698,NA,TRUE,0.8,TRUE
singlecellnet...46,1,1,1,NA,TRUE,0.8,TRUE
garnett...47,0.5394979716201239,0.5409613809971264,0.7720642277017975,NA,TRUE,0.8,TRUE
cellassign...48,0.9666123697633617,0.9145573695280907,0.9868335035263175,NA,TRUE,0.8,TRUE
scmap_cluster...49,0.8558709686260269,0.7387815317684653,0.9133189569594308,NA,TRUE,0.8,FALSE
scmap_cell...50,0.6886216751492203,0.611540327230472,0.8085091189779261,NA,TRUE,0.8,FALSE
chetah...51,0.7948410838709505,0.7403638810806031,0.8755642954599738,NA,TRUE,0.8,FALSE
singlecellnet...52,0.9889932493467533,0.9665128860326686,0.9935159941099546,NA,TRUE,0.8,FALSE
garnett...53,0.1457359104667342,0.23760134463484078,0.5518223130775035,NA,TRUE,0.8,FALSE
cellassign...54,0.9889932493467533,0.9665128860326686,0.9935159941099546,NA,TRUE,0.8,FALSE
scmap_cluster...55,0.9293449678278765,0.8122097615942048,0.9631818924266249,0.04640371229698376,TRUE,1,NA
scmap_cell...56,0.8485038845395971,0.7335386057027758,0.9200805018580703,0.0951276102088167,TRUE,1,NA
chetah...57,0.8613315727574717,0.76512069697911,0.9264357684147142,0.05568445475638051,TRUE,1,NA
singlecellnet...58,0.9969761600740876,0.9836473567516383,0.9984484086852967,0.002320185614849188,TRUE,1,NA
garnett...59,0.28791101945175346,0.3241147264637889,0.5600530283811703,0.32018561484918795,TRUE,1,NA
cellassign...60,0.9875633365301341,0.9670578053006403,0.9936693913548265,0,TRUE,1,NA
scmap_cluster...61,0.9869255558564826,0.960610815636298,0.9947819952610037,NA,TRUE,1,TRUE
scmap_cell...62,0.9481884965400132,0.877609070598789,0.9799345091061327,NA,TRUE,1,TRUE
chetah...63,0.9741818635482129,0.9330611881016486,0.9894899466101285,NA,TRUE,1,TRUE
singlecellnet...64,1,1,1,NA,TRUE,1,TRUE
garnett...65,0.5763934655403111,0.560531130233845,0.7945608401273002,NA,TRUE,1,TRUE
cellassign...66,0.9739324905980095,0.9300309055830533,0.9896991099900823,NA,TRUE,1,TRUE
scmap_cluster...67,0.8539670220723264,0.7326563302494089,0.9118010056993344,NA,TRUE,1,FALSE
scmap_cell...68,0.7345393407939793,0.6569857797923142,0.8371075747150416,NA,TRUE,1,FALSE
