method,ARI,AMI,FMI,unlabeled_pctg,sample_num,assigned,supervised
scmap_cluster...1,0.5772054255827163,0.6421166837344143,0.6280064116583685,0.13625,100,NA,TRUE
scmap_cell...2,0.28607839810907715,0.4986294696913514,0.4885644483499629,0.58375,100,NA,TRUE
chetah...3,0.5871179653421686,0.5957926854481573,0.6377385908101121,0.20375,100,NA,TRUE
singlecellnet...4,0.6150070321689289,0.6886132114699244,0.6635642814254789,0,100,NA,TRUE
garnett...5,0.19395656262873348,0.2999979824446359,0.3598316108438007,0.39875,100,NA,TRUE
cellassign...6,0.2816202068117004,0.47408454888368473,0.5056654786673573,0,100,NA,TRUE
scmap_cluster...7,0.9981206663523409,0.9734564451809136,0.9990485534779235,NA,100,TRUE,TRUE
scmap_cell...8,0.9945968020252205,0.9540280428989281,0.997262407314001,NA,100,TRUE,TRUE
chetah...9,0.9988254200023566,0.9829199945616783,0.9994054625785203,NA,100,TRUE,TRUE
singlecellnet...10,0.9877842578209663,0.9252366867616949,0.9938139424220794,NA,100,TRUE,TRUE
garnett...11,0.9708804862191555,0.8229416666040589,0.9855472767439604,NA,100,TRUE,TRUE
cellassign...12,0.9455268441631732,0.7562673503272191,0.9731389734995075,NA,100,TRUE,TRUE
scmap_cluster...13,0.47774602304808206,0.5674874159087886,0.5472416378612318,NA,100,FALSE,TRUE
scmap_cell...14,0.20042082199805822,0.3837116520147218,0.45999749306731663,NA,100,FALSE,TRUE
chetah...15,0.48634342016334403,0.5218023894676982,0.5534417297555856,NA,100,FALSE,TRUE
singlecellnet...16,0.5385878666319973,0.6263001221971279,0.6034668947789784,NA,100,FALSE,TRUE
garnett...17,0.1110434970467132,0.1547180258331918,0.3213395718077346,NA,100,FALSE,TRUE
cellassign...18,0.2124843027889148,0.3829622383343401,0.4789723057081552,NA,100,FALSE,TRUE
scmap_cluster...19,0.6470693470488974,0.6793018063304469,0.6898074363377934,0.080625,200,NA,TRUE
scmap_cell...20,0.31444098580030283,0.5285453062776172,0.5002960019935988,0.550625,200,NA,TRUE
chetah...21,0.6270394535937803,0.6167019539570758,0.6735328997540784,0.175,200,NA,TRUE
singlecellnet...22,0.6584607537960337,0.7166348652788838,0.7014890354818567,0,200,NA,TRUE
garnett...23,0.23012621533658975,0.37685784042654696,0.35846014194814535,0.364375,200,NA,TRUE
cellassign...24,0.275326680377151,0.46542898491188456,0.5043853660811545,0,200,NA,TRUE
scmap_cluster...25,0.9965543236367023,0.9692680958946556,0.9977901530365051,NA,200,TRUE,TRUE
scmap_cell...26,0.9927110059937986,0.9397528329437893,0.9953294948308725,NA,200,TRUE,TRUE
chetah...27,0.9840067895611816,0.9281220791759461,0.9897235939451742,NA,200,TRUE,TRUE
singlecellnet...28,0.9890583268749096,0.9222296885322611,0.9929802720017642,NA,200,TRUE,TRUE
garnett...29,0.9426973588494466,0.7898357205761191,0.9635235372278815,NA,200,TRUE,TRUE
cellassign...30,0.926649891290093,0.7644134193320943,0.9549810790836947,NA,200,TRUE,TRUE
scmap_cluster...31,0.517900931519927,0.5790856353400992,0.5846335922432778,NA,200,FALSE,TRUE
scmap_cell...32,0.18541891484146358,0.36539976683277126,0.45258063440830326,NA,200,FALSE,TRUE
chetah...33,0.49840299844099156,0.5193613562283259,0.5671050526951547,NA,200,FALSE,TRUE
singlecellnet...34,0.5495797434868616,0.6322176729326301,0.615547007906069,NA,200,FALSE,TRUE
garnett...35,0.10382878508209031,0.20110745039682137,0.29282641817809535,NA,200,FALSE,TRUE
cellassign...36,0.16834578307767295,0.32131054066319176,0.46170679862831293,NA,200,FALSE,TRUE
scmap_cluster...37,0.6634492005189232,0.6931887880030474,0.7042102187577022,0.08954289292423294,400,NA,TRUE
scmap_cell...38,0.3466674496603332,0.5562529601079583,0.5124798910159568,0.5115842204132749,400,NA,TRUE
chetah...39,0.6120116538101762,0.600242713809378,0.6597809847984576,0.16249217282404507,400,NA,TRUE
singlecellnet...40,0.6780526282351061,0.7310428426793476,0.7189611491709118,0,400,NA,TRUE
garnett...41,0.22493631136034017,0.37673206506681606,0.3464078393911126,0.3428303068252974,400,NA,TRUE
