method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,train_test_correlation,type_pctg,type_num,assigned
scmap_cluster...1,0.754633350013997,0.6695449103901543,0.8067197831364662,0.1031636863823934,6,0.28060522696011003,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
scmap_cell...2,0.7600152035101267,0.7543930874377069,0.8138496135187053,0.2544704264099037,6,0.2833562585969739,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
chetah...3,0.789638917045582,0.7066535541304876,0.8344480129474036,0.09353507565337002,6,0.2792297111416781,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
singlecellnet...4,0.9578279544675493,0.9293152373679228,0.9670501080878878,0.002751031636863824,6,0.28885832187070154,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
garnett...5,0,0,0.4677746418141777,1,1,-Inf,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
singleR...6,0.8746021627597307,0.836667211517248,0.9020264798186243,0,5,0.2874828060522696,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
cellassign...7,0,0,0.4677746418141777,1,1,-Inf,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,NA
scmap_cluster...8,0.9447923611118738,0.823142127697394,0.9849580514788959,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
scmap_cell...9,0.980274304729813,0.8609319448559528,0.9947466063647461,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
chetah...10,0.9856337857896045,0.8868276560719325,0.9961815771291126,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
