method,wNMI,wRI,unlabeled_pctg,level,assigned
scmap_cluster...1,0.8055264677286117,0.8866185087492692,0.18072642062097247,Level2,NA
scmap_cell...2,0.946641616163291,0.9234138172954457,0.5843585237258347,Level2,NA
chetah...3,0.8281116605058971,0.9051470418394386,0.45782073813708263,Level2,NA
singlecellnet...4,0.9054911532418606,0.9169030607415389,0,Level2,NA
garnett...5,0.40452231190085697,0.8108629101334653,0.715875805506737,Level2,NA
scmap_cluster...6,0.9435540426512128,0.9866200322789221,NA,Level2,TRUE
scmap_cell...7,0.9525778489292619,0.9880806878448163,NA,Level2,TRUE
chetah...8,0.928640704362185,0.9874457339993243,NA,Level2,TRUE
singlecellnet...9,0.9614394597343028,0.9881988423450341,NA,Level2,TRUE
garnett...10,0.36301655160509244,0.6981869094901134,NA,Level2,TRUE
scmap_cluster...11,0.7500635404387481,0.9184266380330779,0.19080779944289694,Level3,NA
scmap_cell...12,0.8932264423445407,0.9212166442702904,0.6612813370473538,Level3,NA
chetah...13,0.7075130969867093,0.9123827829883397,0.39860724233983286,Level3,NA
singlecellnet...14,0.8068732803704242,0.9326550479852397,0,Level3,NA
garnett...15,0.3204217159725333,0.842764459206017,0.6445682451253482,Level3,NA
scmap_cluster...16,0.9418878313188229,0.9898752884190984,NA,Level3,TRUE
scmap_cell...17,0.9477249851230715,0.9901215525680376,NA,Level3,TRUE
chetah...18,0.8759527036879697,0.9756812412423554,NA,Level3,TRUE
singlecellnet...19,0.9443214469499397,0.9895655391633253,NA,Level3,TRUE
garnett...20,0.3878332969420148,0.7596467317267755,NA,Level3,TRUE
scmap_cluster...21,0.7478575088545538,0.9395557989103702,0.16882034180908712,Level4,NA
scmap_cell...22,0.8770532138169257,0.9084352385378685,0.6777824093372239,Level4,NA
chetah...23,0.7073417622535042,0.93779187757365845,0.29137140475198,Level4,NA
singlecellnet...24,0.8245900395360993,0.9552032585502009,0,Level4,NA
garnett...25,0.5023175652600503,0.8831451361289194,0.3689037098791163,Level4,NA
scmap_cluster...26,0.9712975370011022,0.9968755831708239,NA,Level4,TRUE
scmap_cell...27,0.9632271256003555,0.9952897766742658,NA,Level4,TRUE
chetah...28,0.9265900457535463,0.9928699807015375,NA,Level4,TRUE
singlecellnet...29,0.978421056460071,0.9974741800146779,NA,Level4,TRUE
garnett...30,0.6250921841878933,0.8597371823380143,NA,Level4,TRUE
seurat...31,0.796495912348996,0.8821018398824143,NA,Level2,NA
tscan...32,0.76384849749005,0.8878494380140932,NA,Level2,NA
sc3...33,0.8021445031078789,0.8837932838358545,NA,Level2,NA
liger...34,0.626804389170772,0.8695531063728151,NA,Level2,NA
seurat...35,0.8525661440964879,0.9644991385579657,NA,Level2,TRUE
tscan...36,0.8813650810398732,0.9858369667443477,NA,Level2,TRUE
sc3...37,0.7873846024906556,0.8894954804371558,NA,Level2,TRUE
liger...38,0.5784277028747835,0.8180426977422987,NA,Level2,TRUE
seurat...39,0.8796267115349352,0.9436563024866712,NA,Level3,NA
tscan...40,0.7374583007863517,0.9168163825305031,NA,Level3,NA
sc3...41,0.8483633946572814,0.9366692763447592,NA,Level3,NA
liger...42,0.712408606439573,0.9113964039631316,NA,Level3,NA
seurat...43,0.9573127075750726,0.9871314624286476,NA,Level3,TRUE
tscan...44,0.8987038912310942,0.9696486256872114,NA,Level3,TRUE
sc3...45,0.9325149675419249,0.9832139293848295,NA,Level3,TRUE
liger...46,0.6953552075952434,0.8616670713990919,NA,Level3,TRUE
seurat...47,0.8596363401954815,0.9474711076367597,NA,Level4,NA
tscan...48,0.6718448361561848,0.9282486198057893,NA,Level4,NA
sc3...49,0.8262510367175359,0.9488419596964013,NA,Level4,NA
liger...50,0.7053408698725228,0.9167789583392717,NA,Level4,NA
seurat...51,0.9766291577243211,0.9944797290920219,NA,Level4,TRUE
tscan...52,0.7678326960287484,0.9333682218375156,NA,Level4,TRUE
sc3...53,0.9617032461106839,0.9940985451311026,NA,Level4,TRUE
liger...54,0.8016336934610045,0.9344305083821678,NA,Level4,TRUE
