method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,assigned
scmap_cluster...1,0.3035317810155253,0.478431901076715,0.49159583939194557,0.4736469755925009,9,0.4736469755925009,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
scmap_cell...2,0.3038572622173041,0.45538440566882593,0.4881795267792763,0.42589317297488505,9,0.42589317297488505,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
chetah...3,0.39082402128576876,0.4662519715101825,0.5224816138096021,0.22178988326848248,9,0.2553944110364344,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
singlecellnet...4,0.8358877622105704,0.7323411400565112,0.879777004452786,0.0010611956137247967,9,0.4372125928546162,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
garnett...5,0.10950304639187355,0.29375057450836234,0.3296816639045259,0.45065440396179696,9,0.45065440396179696,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
singleR...6,0.820033838371163,0.7346072116083365,0.8665404205137881,0,8,0.43261407852847544,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
cellassign...7,0.7117707531338336,0.6680303640500005,0.7867326885729835,0,8,0.41917226742129465,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,NA
scmap_cluster...8,0.8108218135459341,0.7993707993940048,0.8672559370895142,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,TRUE
scmap_cell...9,0.9016462315501194,0.8656953303539092,0.9325630545202671,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,TRUE
chetah...10,0.6236353679221224,0.5966150425611004,0.7302722141928595,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,TRUE
singlecellnet...11,0.8820273062930675,0.8351463367222047,0.9190328585194545,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8993391951212937,1.6408641369006336,0.07242924394532357,0.06114230616527706,8,0.4103177314656645,0.9657777166220235,2927,17631,GSE96583_8_Stim_Pats,0.8705318178504545,1.6536120995775543,0.07719357949066984,0.06584992343032159,8,0.41740360806508664,0.9650386473787598,2827,17631,TRUE
