method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
scmap_cluster...1,0.014078348486974143,0.021040060149312822,0.5996754901222922,0.9881936245572609,5,0.9881936245572609,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
scmap_cell...2,0.370017836337406,0.5844918355067925,0.5789662595864059,0.44297520661157025,7,0.44297520661157025,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
chetah...3,0.859454985446863,0.8010276690963312,0.9089500058449916,0.0512396694214876,8,0.5022432113341204,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
singlecellnet...4,0.8992968313971139,0.8340487006565337,0.9368918860811514,7.083825265643448e-4,8,0.5742621015348288,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
garnett...5,0.282777637317743,0.4499857090898419,0.47782199772808065,0.25950413223140495,8,0.25950413223140495,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
singleR...6,0.8637472925893271,0.8297034720198021,0.9113554227155557,0,7,0.5171192443919717,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
cellassign...7,0.6415917154383283,0.7003566045459947,0.7889421318037289,0,6,0.6370720188902007,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
scmap_cluster...8,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
scmap_cell...9,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
chetah...10,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
singlecellnet...11,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
garnett...12,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
singleR...13,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
cellassign...14,0.6404689850135005,0.7152160011142609,0.7732980988911997,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
scmap_cluster...15,0.007092836122231639,0.009629895003743503,0.6022920968646056,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
scmap_cell...16,0.3656427712736832,0.5808765871984279,0.5775720290389618,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
chetah...17,0.8583315219739313,0.7992660616997825,0.9084997952861235,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
singlecellnet...18,0.8985075055503269,0.8323299118246441,0.9366426074480754,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
garnett...19,0.2798238398608741,0.4477229353644028,0.4763386053791457,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
singleR...20,0.8626683268329776,0.8280613672931671,0.9109377185914015,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
cellassign...21,0.6429223066744721,0.7003024376328285,0.790169978316208,NA,NA,NA,TRUE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
scmap_cluster...22,0.6851412970164551,0.4945248727718905,0.9840134617523533,0.015778149653358834,3,0.9660530719579249,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
scmap_cell...23,0.9716589798955164,0.9110393928700249,0.9990013404303998,9.562514941429596e-4,3,0.9823093473583553,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
chetah...24,0.5874511394357264,0.4131169334833941,0.9758855486896989,0.02318909873296677,3,0.9579249342577097,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
singlecellnet...25,0.9715979520125024,0.8740931717314205,0.9989855652093599,0.0019125029882859192,3,0.9818312216112838,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
garnett...26,0.011035354580732641,0.022106436773407685,0.5812889028440004,0.35500836720057377,3,0.3899115467367918,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
singleR...27,0.9588789907420864,0.8943375827603633,0.9985137239101723,0,2,0.9813530958642123,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
cellassign...28,0.9583678434096085,0.9018186913591941,0.9985143199003239,0,2,0.9818312216112838,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
scmap_cluster...29,0.9756636656414739,0.9262643444264133,0.998786216835481,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
scmap_cell...30,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
chetah...31,0.9836559679358683,0.9476633697962132,0.9991906627508675,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
singlecellnet...32,1,1,1,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
garnett...33,0.03589851948446767,0.03802290989343761,0.7229345470614662,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
singleR...34,0.9917671881311483,0.9712677115589542,0.9995952571994525,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
cellassign...35,0.9836559679358683,0.9476633697962132,0.9991906627508675,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
scmap_cluster...36,0.24614232933069907,0.16473820628016764,0.9606954659947108,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
scmap_cell...37,0.7965057243246813,0.6337626942521852,0.9974458480579534,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
chetah...38,0.16995587073838408,0.11304581410517886,0.9395427111962632,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
singlecellnet...39,0.8147700072795808,0.6295284849233022,0.9974434448454595,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
garnett...40,0.15939450374048258,0.064555280401434,0.9433367137914951,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
singleR...41,0.7785210596877455,0.6173097549897543,0.9968075699381651,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
cellassign...42,0.7966999710815559,0.6202009332409617,0.9974499124403499,NA,NA,NA,TRUE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
seurat...43,0.6490186400409652,0.6774788312475372,0.7672695284858836,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
tscan...44,0,0,0.599196922744339,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
