method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
scmap_cluster...1,0.09028838384085208,0.25850896260297257,0.40349001062216566,0.7177476835352815,9,0.7177476835352815,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
scmap_cell...2,0.14832068531208809,0.31132854942269184,0.4379936256122029,0.6942266571632216,8,0.6942266571632216,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
chetah...3,0.4329912049924835,0.4655881227050838,0.5374380017478262,0.17533856022808267,9,0.2342599192207175,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
singlecellnet...4,0.8208582697093145,0.7769492541369969,0.8590568867078506,0,7,0.3171774768353528,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
garnett...5,0.1650434240539075,0.30556755259865864,0.37986766157679686,0.5172249940603468,9,0.5172249940603468,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
singleR...6,0.6946182770125731,0.7104577187453411,0.7627981355448135,0,8,0.37491090520313614,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
cellassign...7,0.6777450163292206,0.658733013178921,0.7605910900565281,0,8,0.3549536707056308,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
scmap_cluster...8,0.9711828559584219,0.9582618046843122,0.9783555124974029,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
scmap_cell...9,0.9902684574922896,0.9730176507041237,0.9927346972230627,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
chetah...10,0.8699690402476781,0.8311945561822234,0.9034687070359291,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
singlecellnet...11,1,1,1,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
garnett...12,0.7693336743325924,0.7387344122690498,0.825083748775479,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
singleR...13,0.9902684574922896,0.9730176507041237,0.9927346972230627,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
cellassign...14,0.7160832291256832,0.7442804017214728,0.8122436479268174,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
scmap_cluster...15,0.0788532525652108,0.23520872988239042,0.40327437684742307,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
scmap_cell...16,0.13932514752464245,0.28978891249319133,0.43942159928273367,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
chetah...17,0.4258627267737852,0.4556693429614546,0.5329884039453817,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
singlecellnet...18,0.8171989918700948,0.7703387671591404,0.856768223414299,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
garnett...19,0.16023510231726884,0.2945836979714929,0.3821146852031524,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
singleR...20,0.6883942333581421,0.7022264015408758,0.7589903778449701,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
cellassign...21,0.6828350582453213,0.6625326089972546,0.7645305693768265,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
scmap_cluster...22,0.6948788839962868,0.6527272382527608,0.7735300360790467,0.12380725190839695,8,0.34947519083969464,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
scmap_cell...23,0.38139103678191366,0.5346522835491865,0.5461344223649263,0.38406488549618323,8,0.38406488549618323,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
chetah...24,0.5716446428967364,0.555619021812394,0.6789592915458736,0.1431297709923664,9,0.28912213740458015,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
singlecellnet...25,0.8916754727245808,0.81964541405286,0.9220614473840728,0.0014312977099236641,9,0.44656488549618323,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
garnett...26,0.2779548908019792,0.3907603234037838,0.4480218071958377,0.29532442748091603,9,0.29532442748091603,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
singleR...27,0.8506097783658059,0.782261962419673,0.8952118821091993,0,8,0.4749522900763359,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
cellassign...28,0.7926060908551991,0.7009586153381393,0.8551190410232845,0,8,0.4780534351145038,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
scmap_cluster...29,0.9378022240612851,0.8940059103238247,0.955191178699073,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
scmap_cell...30,0.954868734828504,0.9068064635081468,0.9677635482174001,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
chetah...31,0.8577228486077856,0.7746857264069488,0.8969524520487071,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
singlecellnet...32,0.9513015749871829,0.9070865497247448,0.9652113742254463,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
garnett...33,0.674232793364984,0.6322554182463209,0.760197365363703,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
singleR...34,0.9418540047307873,0.8937172293856716,0.9586250322809718,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
cellassign...35,0.8944539838445189,0.8180540927685689,0.9260795522693782,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,TRUE
scmap_cluster...36,0.5469169004103874,0.5442989874881209,0.6720892464464777,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
scmap_cell...37,0.09827947277088524,0.2931913907203116,0.4287866781287179,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
chetah...38,0.40787623726089905,0.4525393689817854,0.5618201767981545,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
singlecellnet...39,0.8571257551712389,0.7673367259527085,0.9023270836209262,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
garnett...40,0.10940211334275067,0.26295715513387935,0.38140542311038056,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
singleR...41,0.7978150035921875,0.7161499266470337,0.8673683250323829,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
cellassign...42,0.7336658518320017,0.6195977989018471,0.8244088293311491,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,FALSE
seurat...43,0.762451763674016,0.7548252029674266,0.8118809274352182,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
tscan...44,0.1604482264089438,0.2270126056059174,0.3024126346024864,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
sc3...45,0.7623356056793809,0.7219015682846633,0.8126741245080786,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
liger...46,0.5746328305252015,0.5772219734071696,0.6582431275743177,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,NA
seurat...47,0.9902684574922896,0.9730176507041237,0.9927346972230627,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
tscan...48,0.6252097422077592,0.6472585385051525,0.7130243477037799,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
sc3...49,0.9156999976669108,0.8825722489235222,0.9397972327489681,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
liger...50,0.903660738919344,0.8682127789676731,0.9277298141383004,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,TRUE
seurat...51,0.7574909705437818,0.748200563771317,0.8086833025364512,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
tscan...52,0.15757604627354208,0.21903703913219594,0.3015227734418962,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
sc3...53,0.7658348017630532,0.7269141844779149,0.8156750679059113,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
liger...54,0.5672217189570414,0.569191591681614,0.6534723447698945,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.900616990422771,1.6907098863258252,0.03080301835792319,0.009911026016443291,8,0.29413162271323356,0.9853643307902066,4209,17758,0.3,FALSE
seurat...55,0.6640621821392517,0.686380929671214,0.750842843218289,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
tscan...56,0.3317109598238294,0.3910948829096206,0.4875234504312346,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
sc3...57,0.5720804230094412,0.6346793101589575,0.6793943668111525,NA,NA,NA,FALSE,GSE96583_batch1_3_samples,0.9427641489890349,1.5692256117708148,0.07348800540601419,0.029001013627660777,8,0.4327290076335878,0.9693089218363253,4192,17758,0.7,NA
