method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
scmap_cluster...1,0.8799739081867194,0.8311227355261362,0.9084267696505028,0.03594771241830065,8,0.37745098039215685,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
scmap_cell...2,0.8754503834200109,0.806496326368403,0.9049164641665369,0.06045751633986928,8,0.37745098039215685,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
chetah...3,0.8520604622636104,0.789484705899798,0.8870140820737881,0.06045751633986928,8,0.3709150326797386,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
singlecellnet...4,0.9000359518661321,0.8748696744802502,0.9237115663079941,0.004901960784313725,8,0.3839869281045752,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
garnett...5,0.21443555773143497,0.4048128184075094,0.3847129905862508,0.3431372549019608,7,0.3431372549019608,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
singleR...6,0.8998800620851936,0.8878458517912748,0.9235986265959388,0,7,0.3839869281045752,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
cellassign...7,0.8908716447257791,0.8690699518469541,0.9166732589615993,0,7,0.380718954248366,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,NA
scmap_cluster...8,0.9417958563529073,0.9265142247884377,0.9583466028411287,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
scmap_cell...9,0.9417958563529073,0.9265142247884377,0.9583466028411287,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
chetah...10,0.9341507401577391,0.9156919122050979,0.9528428668928424,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
singlecellnet...11,0.9493603911088928,0.935327944113198,0.9637540598249414,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
garnett...12,0.5227882624708247,0.6227000689610978,0.6452783512650981,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
singleR...13,0.9380924789364403,0.9246616791539636,0.9556701946578414,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
cellassign...14,0.9493603911088928,0.935327944113198,0.9637540598249414,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,TRUE
scmap_cluster...15,0.7905745893183528,0.7643424153069064,0.8320578402090788,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,FALSE
scmap_cell...16,0.739898586346151,0.7144982210913496,0.7904398780417821,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,FALSE
chetah...17,0.7027703594193626,0.698281045594456,0.7602224566497352,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,FALSE
singlecellnet...18,0.8286190080851685,0.8125015914452823,0.8624033837589263,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,FALSE
garnett...19,0.025535127341532824,0.07167736489592773,0.41606312735600837,NA,NA,NA,TRUE,Muraro_pancreas,0.5564127861613686,1.632560737479132,2.7133750455784016,1.317259580602684,7,0.39869281045751637,0.7900575759524704,612,18902,0.3,FALSE
