method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
scmap_cluster...1,0.9832216598272284,0.9506303386699411,0.9875811203890402,0.014705882352941176,7,0.39869281045751637,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
scmap_cell...2,0.9965605237235392,0.9754410649801157,0.997454954942758,0.00980392156862745,7,0.40032679738562094,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
chetah...3,0.9299040446683281,0.8760159071546497,0.9482408983901874,0.05228758169934641,7,0.38562091503267976,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
singlecellnet...4,0.9883257148915903,0.9722531263970036,0.9913618079464493,0.0032679738562091504,7,0.4019607843137255,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
garnett...5,0.2743857512217493,0.47673783068122777,0.47176367624712556,0.4542483660130719,6,0.4542483660130719,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
singleR...6,0.9960844868169845,0.9930373871675435,0.9971064621080148,0,6,0.4019607843137255,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
cellassign...7,0.98541874490152,0.967299906429497,0.9892007417620294,0,6,0.39869281045751637,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,NA
scmap_cluster...8,1,1,1,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,TRUE
scmap_cell...9,1,1,1,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,TRUE
chetah...10,1,1,1,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17803823786232117,1.5261944513417405,5.746989771697381,4.281299900737992,6,0.40032679738562094,0.7258202937354361,612,23171,0.3,TRUE
