method,ARI,AMI,FMI,unlabeled_pctg,supervised,quantile,assigned
scmap_cluster...1,0.7167862118752768,0.5511634666249408,0.8935582278185003,0.12946428571428573,TRUE,0.3,NA
scmap_cell...2,0.6150988386480222,0.44971434654174447,0.8521678353134244,0.20758928571428573,TRUE,0.3,NA
chetah...3,0.815307618430949,0.6025050990806121,0.9334038701550231,0.04017857142857143,TRUE,0.3,NA
singlecellnet...4,0.9790482388501818,0.9184871385286505,0.9931968877390018,0.008928571428571428,TRUE,0.3,NA
garnett...5,0.057690338727464874,0.060886056151923225,0.49410631340654104,0.37723214285714285,TRUE,0.3,NA
cellassign...6,0.9820142845276091,0.9544001975685231,0.9940373982279477,0,TRUE,0.3,NA
scmap_cluster...7,0.958482120272762,0.8977864339225425,0.9944331472897596,NA,TRUE,0.3,TRUE
scmap_cell...8,0.9972215357496704,0.9409490848082042,0.9996392708062135,NA,TRUE,0.3,TRUE
chetah...9,0.8807343862416486,0.6677715717956185,0.9829223190412022,NA,TRUE,0.3,TRUE
singlecellnet...10,1,1,1,NA,TRUE,0.3,TRUE
garnett...11,0.09981223838260893,0.08082950179222559,0.6838472926969353,NA,TRUE,0.3,TRUE
cellassign...12,1,1,1,NA,TRUE,0.3,TRUE
scmap_cluster...13,0.574374372751199,0.4980849834384568,0.7774019775473383,NA,TRUE,0.3,FALSE
scmap_cell...14,0.3778683876747609,0.36919439287755107,0.6769428510681834,NA,TRUE,0.3,FALSE
chetah...15,0.756476379956617,0.5865163816280573,0.8778194829694851,NA,TRUE,0.3,FALSE
singlecellnet...16,0.9657132149316378,0.8974544437108923,0.9842862941451207,NA,TRUE,0.3,FALSE
garnett...17,0.034254524088023916,0.06401390173083912,0.5404216387150969,NA,TRUE,0.3,FALSE
cellassign...18,0.9725813251151717,0.9441697701234104,0.9871516379751059,NA,TRUE,0.3,FALSE
scmap_cluster...19,0.4874405948179358,0.3136299529823615,0.929713278323899,0.08482142857142858,TRUE,0.7,NA
scmap_cell...20,0.4573575445932405,0.22104172722866725,0.96579965725194,0.015625,TRUE,0.7,NA
chetah...21,0.7452225523810102,0.5716536874102129,0.9717310141585086,0.022321428571428572,TRUE,0.7,NA
singlecellnet...22,0.9724477279450497,0.9176562322082576,0.9975586015937442,0.004464285714285714,TRUE,0.7,NA
garnett...23,0.021046767286176327,0.015603478211781338,0.5698098250380782,0.4732142857142857,TRUE,0.7,NA
cellassign...24,0.9023473324973236,0.7809807159857326,0.9903702990746269,0,TRUE,0.7,NA
scmap_cluster...25,0.8529418678451374,0.7129051421279925,0.9951106983473169,NA,TRUE,0.7,TRUE
scmap_cell...26,0.39024993813412523,0.20102049766797606,0.9854482766961775,NA,TRUE,0.7,TRUE
chetah...27,0.8842431830657547,0.76560880621088,0.9950624165563237,NA,TRUE,0.7,TRUE
singlecellnet...28,1,1,1,NA,TRUE,0.7,TRUE
garnett...29,0.0072272877001735005,0.012446287593289057,0.6649322547292265,NA,TRUE,0.7,TRUE
cellassign...30,1,1,1,NA,TRUE,0.7,TRUE
scmap_cluster...31,0.39889262629879235,0.2582903087701309,0.8703226403048584,NA,TRUE,0.7,FALSE
scmap_cell...32,0.46105287010846924,0.22191607118936785,0.9482798710432758,NA,TRUE,0.7,FALSE
chetah...33,0.7031003102491826,0.5435007100529206,0.9503923728329031,NA,TRUE,0.7,FALSE
singlecellnet...34,0.963629329787076,0.8978054374795014,0.9952324077720666,NA,TRUE,0.7,FALSE
garnett...35,0.4094890824807163,0.16636596574393195,0.8962690693460654,NA,TRUE,0.7,FALSE
cellassign...36,0.8741249065284785,0.7399610871482301,0.9812846223769002,NA,TRUE,0.7,FALSE
seurat...37,0.24118506042612456,0.3547090683586186,0.5809528492228971,NA,FALSE,0.3,NA
tscan...38,0.160732082017008,0.25043348474064303,0.49852251268889325,NA,FALSE,0.3,NA
sc3...39,0.1734505483450909,0.30848028677442785,0.4965074643848853,NA,FALSE,0.3,NA
liger...40,0,0,0.819195346849051,NA,FALSE,0.3,NA
seurat...41,0.12525437330238737,0.20343474927741512,0.5980698670741429,NA,FALSE,0.3,TRUE
tscan...42,0.09354608491618827,0.15248393581231368,0.5428616479477931,NA,FALSE,0.3,TRUE
sc3...43,0.08026120424399365,0.16922438093117,0.5012060068255028,NA,FALSE,0.3,TRUE
liger...44,0,0,0.9327063202746232,NA,FALSE,0.3,TRUE
seurat...45,0.3119071895519208,0.4351709892867154,0.578233874200934,NA,FALSE,0.3,FALSE
tscan...46,0.17159978161068537,0.29516066871795327,0.4532458347263272,NA,FALSE,0.3,FALSE
sc3...47,0.23577170475677714,0.38419467970928767,0.5014788568708337,NA,FALSE,0.3,FALSE
liger...48,0,0,0.7312614473116716,NA,FALSE,0.3,FALSE
seurat...49,-0.002764201293008697,0.04521722190621207,0.6732970794140499,NA,FALSE,0.7,NA
tscan...50,0.009697819092467525,0.0245776173297349,0.39205471553262217,NA,FALSE,0.7,NA
sc3...51,0.04448985528439674,0.09960209317845245,0.46570498112740527,NA,FALSE,0.7,NA
liger...52,0.03978126388901158,0.04453836939880366,0.6994158833839538,NA,FALSE,0.7,NA
seurat...53,0.009929674540314478,0.02285399166973588,0.6992921192503099,NA,FALSE,0.7,TRUE
tscan...54,0.008184931679080281,0.01871451167119372,0.41469251721521405,NA,FALSE,0.7,TRUE
sc3...55,0.019062985381901446,0.04513537026480686,0.46230381293476835,NA,FALSE,0.7,TRUE
liger...56,0.025071608132262325,0.028504752966663063,0.7201191202518966,NA,FALSE,0.7,TRUE
seurat...57,-0.030258720290224906,0.05770711191976286,0.6562184136408682,NA,FALSE,0.7,FALSE
tscan...58,0.009591152002928528,0.034727875133259437,0.3718028624399266,NA,FALSE,0.7,FALSE
sc3...59,0.065172426668302,0.14434252789094532,0.4681454158250952,NA,FALSE,0.7,FALSE
liger...60,0.04436783559570897,0.06013593730557174,0.6794259939254296,NA,FALSE,0.7,FALSE
