method,ARI,AMI,FMI,unlabeled_pctg,supervised,quantile,assigned
scmap_cluster...1,0.11727669525676712,0.21064253456195464,0.5208431226926041,0.8584571832979476,TRUE,0.2,NA
scmap_cell...2,0.32764288203198577,0.5035695081260959,0.5100843414105575,0.45258315640481245,TRUE,0.2,NA
chetah...3,0.44802968591060033,0.4420657298467278,0.5753306926820762,0.1588818117480538,TRUE,0.2,NA
singlecellnet...4,0.8233271316036574,0.7475065498758928,0.8708456182787744,3.5385704175513094e-4,TRUE,0.2,NA
garnett...5,0.14343446993073347,0.2443307106281119,0.3298295580091858,0.32767162066525124,TRUE,0.2,NA
cellassign...6,0.4579335162248077,0.4504124541928585,0.6555764568544976,0,TRUE,0.2,NA
scmap_cluster...7,0.9063362025127286,0.9173621087037297,0.9261649170321126,NA,TRUE,0.2,TRUE
scmap_cell...8,0.9414042128359369,0.911136729487189,0.9553494595566981,NA,TRUE,0.2,TRUE
chetah...9,0.8058843825149629,0.7746020649419276,0.8471603167821753,NA,TRUE,0.2,TRUE
singlecellnet...10,0.9256111111672812,0.8983565865252932,0.9425303161814296,NA,TRUE,0.2,TRUE
garnett...11,0.7118202246377533,0.7012471715241155,0.7704225846342702,NA,TRUE,0.2,TRUE
cellassign...12,0.6668419194330115,0.6599651031130622,0.7775702102562906,NA,TRUE,0.2,TRUE
scmap_cluster...13,0.10499048043343037,0.17578219025516026,0.5332872791407426,NA,TRUE,0.2,FALSE
scmap_cell...14,0.3060326079229018,0.4832251348403571,0.5008680797388271,NA,TRUE,0.2,FALSE
chetah...15,0.43539471950647907,0.4313406607040613,0.5668204876248266,NA,TRUE,0.2,FALSE
singlecellnet...16,0.8181665863657794,0.7403486098194981,0.8681272514910832,NA,TRUE,0.2,FALSE
garnett...17,0.1281861004460777,0.24055454193319184,0.32262131707642344,NA,TRUE,0.2,FALSE
cellassign...18,0.45236976653834565,0.4418785613702256,0.6542417238914858,NA,TRUE,0.2,FALSE
scmap_cluster...19,0.7404592793711515,0.6141923049163344,0.836282500046651,0.004601769911504424,TRUE,0.8,NA
scmap_cell...20,0.520148147772557,0.4954886247173963,0.6850707555316027,0.27256637168141595,TRUE,0.8,NA
chetah...21,0.47559363842539276,0.3633307731621315,0.6457743359781143,0.09840707964601769,TRUE,0.8,NA
singlecellnet...22,0.7813580997194057,0.6622515026130578,0.8670601334045774,0.0021238938053097347,TRUE,0.8,NA
garnett...23,0.22803996862979237,0.2015708286430923,0.4694589459202452,0.18584070796460178,TRUE,0.8,NA
cellassign...24,0.7016293506884825,0.5902357324727646,0.8144666233378919,0,TRUE,0.8,NA
scmap_cluster...25,0.8283354904451671,0.734900307857958,0.9099890279425448,NA,TRUE,0.8,TRUE
scmap_cell...26,0.8733461517695491,0.7766279752260602,0.9347773439291451,NA,TRUE,0.8,TRUE
chetah...27,0.6481223334580133,0.49391261952302495,0.8029722095951134,NA,TRUE,0.8,TRUE
singlecellnet...28,0.8651477210569559,0.7725694167985481,0.9306869949917889,NA,TRUE,0.8,TRUE
garnett...29,0.3974028641230937,0.330588716074502,0.6502291919494156,NA,TRUE,0.8,TRUE
cellassign...30,0.7930942533254746,0.6948349684282971,0.8930914342648775,NA,TRUE,0.8,TRUE
scmap_cluster...31,0.6121362544812539,0.535583434296231,0.7150067040924926,NA,TRUE,0.8,FALSE
scmap_cell...32,0.0907990322106487,0.2689450391771987,0.4064816735426348,NA,TRUE,0.8,FALSE
chetah...33,0.21802548140880834,0.2912894719402657,0.388605946943843,NA,TRUE,0.8,FALSE
singlecellnet...34,0.6645978892138422,0.574061573663169,0.765019634471778,NA,TRUE,0.8,FALSE
garnett...35,0.019481518022206788,0.10251190995748849,0.28880687333861466,NA,TRUE,0.8,FALSE
cellassign...36,0.5620665274547643,0.4943912316748856,0.6858097717205469,NA,TRUE,0.8,FALSE
seurat...37,0.5494915084526956,0.6189484081744256,0.6574557581068309,NA,FALSE,0.2,NA
tscan...38,0.2949729121555401,0.3374505417521621,0.4474605196835941,NA,FALSE,0.2,NA
sc3...39,0.5038122577719033,0.5717935381432998,0.6201305043035904,NA,FALSE,0.2,NA
liger...40,0.4258644566845082,0.47055213963870735,0.5551658282261457,NA,FALSE,0.2,NA
seurat...41,0.9176772749812457,0.911136729487189,0.9359523528773582,NA,FALSE,0.2,TRUE
tscan...42,0.6775404753406808,0.7292457372172141,0.74634751863755,NA,FALSE,0.2,TRUE
sc3...43,0.9071639701638363,0.911136729487189,0.9273957733178452,NA,FALSE,0.2,TRUE
liger...44,0.7852685460570039,0.7700879317748448,0.831517533233163,NA,FALSE,0.2,TRUE
seurat...45,0.5358607464129665,0.6081753750534892,0.6483636131675263,NA,FALSE,0.2,FALSE
tscan...46,0.28174770690605444,0.3249871820930967,0.4388640487063991,NA,FALSE,0.2,FALSE
sc3...47,0.4884235334535282,0.5595150456227801,0.6095773739248587,NA,FALSE,0.2,FALSE
liger...48,0.41138872336364646,0.4596246465937069,0.5452957310338203,NA,FALSE,0.2,FALSE
seurat...49,0.3068723104962418,0.39614828180367206,0.5022182035816114,NA,FALSE,0.8,NA
tscan...50,0.27511653596253377,0.34189537833814126,0.4790952432952502,NA,FALSE,0.8,NA
sc3...51,0.3986656257260897,0.43305123419045694,0.5825012925009834,NA,FALSE,0.8,NA
liger...52,0.21479179700049097,0.3192224579989924,0.41451125172393055,NA,FALSE,0.8,NA
seurat...53,0.3650016595182186,0.4149488903110752,0.593529432085751,NA,FALSE,0.8,TRUE
tscan...54,0.32697726515155634,0.3231501192758027,0.5689135950479006,NA,FALSE,0.8,TRUE
sc3...55,0.46250038297960006,0.46476488485913314,0.6713269354917077,NA,FALSE,0.8,TRUE
liger...56,0.2325530167682993,0.3181962023874236,0.47336363763289313,NA,FALSE,0.8,TRUE
seurat...57,0.2398462537694686,0.38136503489793516,0.4004372625709281,NA,FALSE,0.8,FALSE
tscan...58,0.21329002750909498,0.35308213905079855,0.38434558683025655,NA,FALSE,0.8,FALSE
sc3...59,0.2925893317720391,0.40524360812330334,0.4566227444122306,NA,FALSE,0.8,FALSE
liger...60,0.17790914887975,0.31578414424403606,0.3376592231893554,NA,FALSE,0.8,FALSE
