method,ARI,AMI,FMI,unlabeled_pctg,quantile,assigned,methods,supervised
scmap_cluster...1,0.5342481996332489,0.5846614510081033,0.60583684905283,0.05721311475409836,0.2,NA,scmap_cluster,TRUE
scmap_cell...2,0.2527741684587215,0.4411658072186643,0.4738639288296463,0.6077868852459016,0.2,NA,scmap_cell,TRUE
chetah...3,0.47729206904099364,0.49168080333567044,0.5544166088624624,0.24032786885245902,0.2,NA,chetah,TRUE
singlecellnet...4,0.5802215842527204,0.6568397721619681,0.6513122870164859,0,0.2,NA,singlecellnet,TRUE
garnett...5,0.14195881276645073,0.2912065724718226,0.2896152567363136,0.35598360655737704,0.2,NA,garnett,TRUE
cellassign...6,0.22244585677272655,0.3673916474487172,0.5094211883230925,0,0.2,NA,cellassign,TRUE
scmap_cluster...7,0.9659245939274721,0.8770460610889079,0.9745275581355635,NA,0.2,TRUE,scmap_cluster,TRUE
scmap_cell...8,0.9658000851745631,0.8831953848646826,0.9744764426042999,NA,0.2,TRUE,scmap_cell,TRUE
chetah...9,0.9688429491392819,0.8903264133536442,0.9767168352880347,NA,0.2,TRUE,chetah,TRUE
singlecellnet...10,0.9695647022509283,0.8953728417447456,0.9772682178685517,NA,0.2,TRUE,singlecellnet,TRUE
garnett...11,0.7600115025870302,0.6776456074184497,0.8186556919585743,NA,0.2,TRUE,garnett,TRUE
cellassign...12,0.8208691241998035,0.7120518134447295,0.8789036761042442,NA,0.2,TRUE,cellassign,TRUE
scmap_cluster...13,0.48657353998646113,0.5531300500772653,0.5674340959783586,NA,0.2,FALSE,scmap_cluster,TRUE
scmap_cell...14,0.2049830789472404,0.39102861246523646,0.4557744251483743,NA,0.2,FALSE,scmap_cell,TRUE
chetah...15,0.41862927283773493,0.4579985590479016,0.5048127178215733,NA,0.2,FALSE,chetah,TRUE
singlecellnet...16,0.5396200915983368,0.629479740950728,0.6201958972749124,NA,0.2,FALSE,singlecellnet,TRUE
garnett...17,0.1144594727972465,0.25953260240427223,0.2771274668234796,NA,0.2,FALSE,garnett,TRUE
cellassign...18,0.1873524310602642,0.32481612813886734,0.49503451794252096,NA,0.2,FALSE,cellassign,TRUE
scmap_cluster...19,0.7503607281640153,0.7134422648435392,0.7886020759597904,0.09130470481977174,0.8,NA,scmap_cluster,TRUE
scmap_cell...20,0.4345990235273466,0.6043665730972619,0.5617259224076853,0.42663601280893343,0.8,NA,scmap_cell,TRUE
chetah...21,0.741737412914472,0.6674622253265176,0.7819202137280173,0.11084653912472288,0.8,NA,chetah,TRUE
singlecellnet...22,0.857904912730324,0.8307509522370904,0.88066054736206,0,0.8,NA,singlecellnet,TRUE
garnett...23,0.4062367963071514,0.46419702928625955,0.49923018459627605,0.26857705887182853,0.8,NA,garnett,TRUE
cellassign...24,0.35451189874418876,0.4635912699500883,0.5692176312218058,0,0.8,NA,cellassign,TRUE
scmap_cluster...25,0.9825627577341098,0.9275022892428011,0.9876512867101905,NA,0.8,TRUE,scmap_cluster,TRUE
scmap_cell...26,0.9890218634447263,0.9499234879460543,0.9922355140900868,NA,0.8,TRUE,scmap_cell,TRUE
chetah...27,0.978660308919428,0.9302733247208675,0.9848880645780684,NA,0.8,TRUE,chetah,TRUE
singlecellnet...28,0.990941741184549,0.9617007386074594,0.9935891184251259,NA,0.8,TRUE,singlecellnet,TRUE
garnett...29,0.8962779318840138,0.7328956277222675,0.926179448142775,NA,0.8,TRUE,garnett,TRUE
cellassign...30,0.7973923415125377,0.690170216031108,0.8718898479943654,NA,0.8,TRUE,cellassign,TRUE
scmap_cluster...31,0.6783662434859518,0.6792663456698489,0.726199304406624,NA,0.8,FALSE,scmap_cluster,TRUE
scmap_cell...32,0.3284780035335877,0.5412554058149099,0.4963097630647997,NA,0.8,FALSE,scmap_cell,TRUE
chetah...33,0.6670457029153635,0.6294157712543299,0.7174032900446451,NA,0.8,FALSE,chetah,TRUE
