method,ARI,AMI,FMI,unlabeled_pctg,quantile,assigned
scmap_cluster...1,0.5329298320107513,0.5832447092318507,0.6044746595871198,0.05818300016252235,0.2,NA
scmap_cell...2,0.2535587688983888,0.44419896904187617,0.4732050374216024,0.6049081748740451,0.2,NA
chetah...3,0.4756120287738585,0.491398252137322,0.5530641266230354,0.24313343084674144,0.2,NA
scmap_cluster...4,0.9535606802028416,0.8469405923994411,0.9670571584668991,NA,0.2,TRUE
scmap_cell...5,0.9544396348847469,0.8531141829467167,0.967788130169892,NA,0.2,TRUE
chetah...6,0.9093007246415016,0.7104215789858167,0.9352556013484102,NA,0.2,TRUE
scmap_cluster...7,0.30172701676443175,0.3435332504995475,0.4414642626319486,NA,0.2,FALSE
scmap_cell...8,0.007070545793602505,0.06238460718491695,0.4281997225110254,NA,0.2,FALSE
chetah...9,0.21150632045807513,0.26318966115565423,0.3465088438046336,NA,0.2,FALSE
scmap_cluster...10,0.7501855307345578,0.7142614312171083,0.7884566092325044,0.08827608713388269,0.8,NA
scmap_cell...11,0.4334774827089877,0.6045594554787826,0.5608901215474469,0.42734763808435994,0.8,NA
chetah...12,0.7417728853274597,0.6684116445790526,0.7819057497145966,0.11046748796606021,0.8,NA
scmap_cluster...13,0.9756359196172681,0.9217532562517355,0.9813691180491421,NA,0.8,TRUE
scmap_cell...14,0.9818021363637572,0.9352528620494219,0.9861039557379483,NA,0.8,TRUE
chetah...15,0.9247111166540706,0.8101050238453306,0.942646529405911,NA,0.8,TRUE
scmap_cluster...16,0.3833283559654528,0.4510264395951123,0.49839029468819007,NA,0.8,FALSE
scmap_cell...17,0.02245835421588592,0.11279504761617166,0.424955932349213,NA,0.8,FALSE
chetah...18,0.4014209021283883,0.422868036416791,0.510297111603909,NA,0.8,FALSE
seurat...19,0.5165094785144961,0.6337173058079194,0.593403680460022,NA,0.2,NA
tscan...20,0.45130042957497024,0.5645415113607432,0.5419926132138442,NA,0.2,NA
seurat...21,0.9375835461419976,0.8250982118287955,0.9556555765201636,NA,0.2,TRUE
tscan...22,0.8516463821457407,0.7166179779856987,0.8939962258881362,NA,0.2,TRUE
seurat...23,0.3031515494025152,0.42027722868240347,0.45082196496185983,NA,0.2,FALSE
tscan...24,0.2622512244931376,0.3940285094152353,0.42547234287403585,NA,0.2,FALSE
seurat...25,0.5484360073137813,0.643976287149947,0.6171337364852961,NA,0.8,NA
tscan...26,0.4871291944581752,0.6475131307819677,0.5672247184842271,NA,0.8,NA
seurat...27,0.7256974107532729,0.7101009020266984,0.7923156044193528,NA,0.8,TRUE
tscan...28,0.6537218863152116,0.6706458704455879,0.7315423284390415,NA,0.8,TRUE
seurat...29,0.27301754542995155,0.39554698293782986,0.4379307643060865,NA,0.8,FALSE
tscan...30,0.3014859176148587,0.41269925174763095,0.4733083470018428,NA,0.8,FALSE
