method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,assigned
scmap_cluster...1,0.6106068132313595,0.6409123924629371,0.7021408912102568,0.1958041958041958,8,0.3531468531468531,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
scmap_cell...2,0.3221326045279788,0.4176668308954579,0.5124754630293358,0.4370629370629371,7,0.4370629370629371,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
chetah...3,0.5592650275073182,0.5495819824324412,0.6578502661917807,0.13636363636363635,9,0.33916083916083917,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
singlecellnet...4,0.794269354391375,0.7093189315099138,0.8519578291872346,0.013986013986013986,7,0.46153846153846156,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
garnett...5,0.2664101219818993,0.2664062939243557,0.5235364682612041,0.5629370629370629,3,0.5629370629370629,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
singleR...6,0.7243832927467889,0.6594094136362632,0.7961427887748724,0,8,0.46153846153846156,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
cellassign...7,0.665371958255359,0.6343568054142013,0.765255691535183,0,8,0.48951048951048953,TRUE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
seurat...8,0.7483790760649847,0.6367343315797119,0.822286943428931,NA,4,0.4370629370629371,FALSE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
tscan...9,0.25133248951299736,0.3672900908813938,0.3962743635006765,NA,8,0.16783216783216784,FALSE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
sc3...10,0.5494569194648192,0.6324420571821583,0.6516750285915578,NA,8,0.2762237762237762,FALSE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
liger...11,0.6412293341336207,0.5751566356897151,0.7576961851027929,NA,6,0.527972027972028,FALSE,GSE96583_8_Stim_Pats,0.9321394808872538,1.66488474296123,0.0784086966578004,0.06289753671793685,8,0.4125874125874126,0.9648523963604339,286,17294,NA
