method,ARI,AMI,FMI,unlabeled_pctg,supervised,assigned
scmap_cluster...1,0.9209587827781077,0.8905861918443012,0.9351839250481536,0.018409425625920472,TRUE,NA
scmap_cell...2,0.9014706681787704,0.8569633442271474,0.9193224806649217,0.044182621502209134,TRUE,NA
chetah...3,0.8308435180816908,0.7658583152374361,0.8612585055632997,0.04491899852724595,TRUE,NA
singlecellnet...4,0.9334338935113485,0.9149845308287724,0.9454642527015894,0.0014727540500736377,TRUE,NA
garnett...5,0.6609527041733522,0.6848499752811087,0.7197982470381027,0.18041237113402062,TRUE,NA
cellassign...6,0.9129382593339462,0.8965382208024345,0.9286653025087629,0,TRUE,NA
seurat...7,0.8824787149610228,0.842093520427758,0.9038428016651701,NA,FALSE,NA
tscan...8,0.657461395775212,0.649325914073853,0.7169355804359965,NA,FALSE,NA
sc3...9,0.9177640235852451,0.8864183667644875,0.9325576681519847,NA,FALSE,NA
liger...10,0.6885401497613857,0.7156873184203405,0.7430731374891769,NA,FALSE,NA
scmap_cluster...11,0.9763028044526644,0.9679860652763409,0.98060432924333,NA,TRUE,TRUE
scmap_cell...12,0.9763028044526644,0.9679860652763409,0.98060432924333,NA,TRUE,TRUE
chetah...13,0.9227825800138896,0.9039886082856683,0.9366905542436306,NA,TRUE,TRUE
singlecellnet...14,0.9785569424408923,0.9707390862136859,0.9824480733926668,NA,TRUE,TRUE
garnett...15,0.9508466966543242,0.9368503994954768,0.9597567614189509,NA,TRUE,TRUE
cellassign...16,0.9762916815769275,0.9674012557650017,0.9805926553923535,NA,TRUE,TRUE
seurat...17,0.9489343404469243,0.92405890197637,0.9582056277150827,NA,FALSE,TRUE
tscan...18,0.7172296533442883,0.7182569814074043,0.7669636793448625,NA,FALSE,TRUE
sc3...19,0.9752433270235564,0.9650633899123443,0.9797333120819061,NA,FALSE,TRUE
liger...20,0.7638309666371458,0.7871129167520702,0.8055521564374731,NA,FALSE,TRUE
scmap_cluster...21,0.7562349981495154,0.7585511928800838,0.7995185563623429,NA,TRUE,FALSE
scmap_cell...22,0.6149439451579239,0.6709988923078155,0.6817704248679066,NA,TRUE,FALSE
chetah...23,0.5505497816575355,0.5528971714110044,0.6282752988812225,NA,TRUE,FALSE
singlecellnet...24,0.7862561938981772,0.7911197755357724,0.8249288724094674,NA,TRUE,FALSE
garnett...25,0.01678771866370857,0.17153648397377091,0.34476400207221797,NA,TRUE,FALSE
cellassign...26,0.7242243970927282,0.7509243271034396,0.7745421700387003,NA,TRUE,FALSE
seurat...27,0.6772763000591939,0.6921034930692872,0.7347515732924682,NA,FALSE,FALSE
tscan...28,0.47673055629333183,0.5099145264283812,0.564641205496848,NA,FALSE,FALSE
sc3...29,0.7553812675320032,0.7581703695756488,0.7988661404443275,NA,FALSE,FALSE
liger...30,0.500373755984886,0.598180185069375,0.5885485935725628,NA,FALSE,FALSE
