method,ARI,AMI,FMI,unlabeled_pctg,supervised,assigned
scmap_cluster...1,0.9490895411117121,0.9171053645500531,0.9585628941519748,0.036603221083455345,TRUE,NA
scmap_cell...2,0.978913715656116,0.9502329298615577,0.9827710321054718,0.016105417276720352,TRUE,NA
chetah...3,0.9506916582491761,0.9024246355995332,0.9599715845558886,0.03806734992679356,TRUE,NA
singlecellnet...4,0.9850349095949164,0.9747767868779432,0.9877404858614847,0.0014641288433382138,TRUE,NA
garnett...5,0.7458533646963118,0.7606706405708218,0.7905301851084383,0.17715959004392387,TRUE,NA
cellassign...6,0.9768198396698409,0.9648218975098921,0.981009404655683,0,TRUE,NA
seurat...7,0.7134725750198339,0.7730996706793121,0.7762660341584098,NA,FALSE,NA
tscan...8,0.22685460092816065,0.37139466180527525,0.36016142472364376,NA,FALSE,NA
sc3...9,0.9571694765209481,0.9398597637018077,0.9651605862302044,NA,FALSE,NA
liger...10,0.5904807794302637,0.6394493901295121,0.6698626174467103,NA,FALSE,NA
scmap_cluster...11,0.9986658119005838,0.9966318458807891,0.998921049780368,NA,TRUE,TRUE
scmap_cell...12,0.9986658119005838,0.9966318458807891,0.998921049780368,NA,TRUE,TRUE
chetah...13,1,1,1,NA,TRUE,TRUE
singlecellnet...14,1,1,1,NA,TRUE,TRUE
garnett...15,0.9946948725246548,0.9899945933997615,0.9957100060218538,NA,TRUE,TRUE
cellassign...16,0.9963593131455013,0.9933595037532253,0.9970560603631546,NA,TRUE,TRUE
seurat...17,0.6848197160104107,0.7622046980551705,0.7571482793474593,NA,FALSE,TRUE
tscan...18,0.2564324166266263,0.39268041195728737,0.39059586956628617,NA,FALSE,TRUE
sc3...19,0.9882656021962449,0.9744457788576665,0.9905341132074993,NA,FALSE,TRUE
liger...20,0.6358520343822295,0.6652346148717154,0.7129358446331638,NA,FALSE,TRUE
scmap_cluster...21,0.7469135640778496,0.771182441215872,0.8021375627446431,NA,TRUE,FALSE
scmap_cell...22,0.9154904338041713,0.8543332447738993,0.9343262765402391,NA,TRUE,FALSE
chetah...23,0.868770593924893,0.7626342288548018,0.897980092257319,NA,TRUE,FALSE
singlecellnet...24,0.955659906786485,0.9213579878902415,0.9655285451905287,NA,TRUE,FALSE
garnett...25,0.06309343145931881,0.23806170644301103,0.4089306470982851,NA,TRUE,FALSE
cellassign...26,0.9394189027414268,0.8980814049096627,0.9527993989282092,NA,TRUE,FALSE
seurat...27,0.7778937208073655,0.8064575071373576,0.8313946133277307,NA,FALSE,FALSE
tscan...28,0.17384442990079124,0.3031941847942907,0.3384231760684526,NA,FALSE,FALSE
sc3...29,0.8201207922894144,0.8507777234029792,0.8620006936805542,NA,FALSE,FALSE
liger...30,0.4577969581555999,0.5679804756536031,0.5711470460688033,NA,FALSE,FALSE
