method,ARI,AMI,FMI,unlabeled_pctg,supervised,assigned
scmap_cluster...1,0.8865348548949229,0.7459268654732307,0.9414768677117674,0.058333333333333334,TRUE,NA
scmap_cell...2,0.9833829132310385,0.9347098373173692,0.9916428966249414,0.008333333333333333,TRUE,NA
chetah...3,0,0,0.7065162952537603,1,TRUE,NA
singlecellnet...4,0.9966722037344652,0.9841404026226104,0.9983319421247958,0.0016666666666666668,TRUE,NA
garnett...5,0.14729760602551084,0.14162716599195072,0.41588678884558494,0.6216666666666667,TRUE,NA
cellassign...6,0.99333331487675,0.9838768074068237,0.9966611111575617,0,TRUE,NA
seurat...7,0.7496248056135352,0.659936952504366,0.8656347976422414,NA,FALSE,NA
tscan...8,0.39165799970442,0.38417844351694547,0.6255079830133758,NA,FALSE,NA
sc3...9,0.22216143684769266,0.27752832046933196,0.4743790448983593,NA,FALSE,NA
liger...10,0.0033509119721282024,0.007381966152980503,0.633756443134702,NA,FALSE,NA
scmap_cluster...11,NA,NA,NA,NA,TRUE,TRUE
scmap_cell...12,NA,NA,NA,NA,TRUE,TRUE
chetah...13,NA,NA,NA,NA,TRUE,TRUE
singlecellnet...14,NA,NA,NA,NA,TRUE,TRUE
garnett...15,NA,NA,NA,NA,TRUE,TRUE
cellassign...16,NA,NA,NA,NA,TRUE,TRUE
seurat...17,NA,NA,NA,NA,FALSE,TRUE
tscan...18,NA,NA,NA,NA,FALSE,TRUE
sc3...19,NA,NA,NA,NA,FALSE,TRUE
liger...20,NA,NA,NA,NA,FALSE,TRUE
scmap_cluster...21,0.8865348548949229,0.7459268654732307,0.9414768677117674,NA,TRUE,FALSE
scmap_cell...22,0.9833829132310385,0.9347098373173692,0.9916428966249414,NA,TRUE,FALSE
chetah...23,0,0,0.7065162952537603,NA,TRUE,FALSE
singlecellnet...24,0.9966722037344652,0.9841404026226104,0.9983319421247958,NA,TRUE,FALSE
garnett...25,0.14729760602551084,0.14162716599195072,0.41588678884558494,NA,TRUE,FALSE
cellassign...26,0.99333331487675,0.9838768074068237,0.9966611111575617,NA,TRUE,FALSE
seurat...27,0.7496248056135352,0.659936952504366,0.8656347976422414,NA,FALSE,FALSE
tscan...28,0.39165799970442,0.38417844351694547,0.6255079830133758,NA,FALSE,FALSE
sc3...29,0.22216143684769266,0.27752832046933196,0.4743790448983593,NA,FALSE,FALSE
liger...30,0.0033509119721282024,0.007381966152980503,0.633756443134702,NA,FALSE,FALSE
