method,ARI,AMI,FMI,unlabeled_pctg,supervised,assigned
scmap_cluster...1,0.9032456337255941,0.7932002853280946,0.9463363439369498,0.059414225941422594,TRUE,NA
scmap_cell...2,0.8347402312494303,0.7332589292670916,0.9082935881053616,0.11548117154811716,TRUE,NA
chetah...3,0.913204673849154,0.8080741769186379,0.9519589715812395,0.021757322175732216,TRUE,NA
singlecellnet...4,0.9934557980522121,0.9805774963807851,0.9964475108757602,8.368200836820083e-4,TRUE,NA
garnett...5,0.432219085434614,0.30883150757492306,0.6493307765692597,0.2175732217573222,TRUE,NA
cellassign...6,0.9936440720971167,0.9825645407945688,0.9965456796986935,0,TRUE,NA
seurat...7,0.5841890967688042,0.594272392148596,0.7503031751534905,NA,FALSE,NA
tscan...8,0.3291666018804662,0.3827299320355671,0.5565283042154349,NA,FALSE,NA
sc3...9,0.3350849057477087,0.4414525447713096,0.56189174243214,NA,FALSE,NA
liger...10,0.03233757458513767,0.04822529079306592,0.504670824307484,NA,FALSE,NA
scmap_cluster...11,0.9965374634409008,0.9874769630054903,0.9983657254154719,NA,TRUE,TRUE
scmap_cell...12,0.9522996843802316,0.8684012568223015,0.9782125867800417,NA,TRUE,TRUE
chetah...13,0.9626351268320034,0.8916858775577138,0.9821404937324743,NA,TRUE,TRUE
singlecellnet...14,0.9965374634409008,0.9874769630054903,0.9983657254154719,NA,TRUE,TRUE
garnett...15,0.6902884084227189,0.4556631101519127,0.8405499264967146,NA,TRUE,TRUE
cellassign...16,0.9982590326495463,0.9887301957076288,0.9991758424259232,NA,TRUE,TRUE
seurat...17,0.5766700347692894,0.5801078397012152,0.7684300395595646,NA,FALSE,TRUE
tscan...18,0.32658609835619196,0.3800006272061831,0.5823382406969819,NA,FALSE,TRUE
sc3...19,0.2958757198276202,0.37672064864183963,0.554682058229563,NA,FALSE,TRUE
liger...20,0.00906192063576891,0.040584209592359706,0.5465469202612082,NA,FALSE,TRUE
scmap_cluster...21,0.7292655196659775,0.6761818382907211,0.8193923855488049,NA,TRUE,FALSE
scmap_cell...22,0.5721883618347648,0.5852964867510387,0.7187127673971045,NA,TRUE,FALSE
chetah...23,0.8272969190044986,0.7495778673840328,0.8865404962867465,NA,TRUE,FALSE
singlecellnet...24,0.9872389690550489,0.970355685229694,0.9917612988360304,NA,TRUE,FALSE
garnett...25,0.2197108790239041,0.3218025353967959,0.5224032419159874,NA,TRUE,FALSE
cellassign...26,0.9859169616618332,0.9746127202552171,0.9909231432681639,NA,TRUE,FALSE
seurat...27,0.6429092973834372,0.6294407057062005,0.7600702739690476,NA,FALSE,FALSE
tscan...28,0.33289178596093016,0.3822161697475703,0.5176104614474802,NA,FALSE,FALSE
sc3...29,0.43746645625896163,0.5337429524045065,0.6048688561873812,NA,FALSE,FALSE
liger...30,0.04005552838057334,0.04935012523986603,0.44273222288681247,NA,FALSE,FALSE
