method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,assigned
scmap_cluster...1,0.1231647634584013,0.5956100131566185,0.18844459036110225,0.1590909090909091,12,0.1590909090909091,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
scmap_cell...2,0.0027369411629485645,0.13926049324380332,0.15193475854547359,0.7727272727272727,3,0.7727272727272727,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
chetah...3,0.005680068797842631,0.08663392109670713,0.18519929937179805,0.9318181818181818,4,0.9318181818181818,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
singlecellnet...4,0,0,0.18392019594868114,1,1,-Inf,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
garnett...5,0,0,0.18392019594868114,1,1,-Inf,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
singleR...6,0,0,0.18392019594868114,0,1,1,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
cellassign...7,0,0,0.18392019594868114,0,1,1,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
seurat...8,0,0,0.18392019594868114,NA,1,-Inf,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
tscan...9,0,0,0.18392019594868114,NA,1,-Inf,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
sc3...10,0.12415817411222517,0.5207434365227354,0.2162307221253254,NA,8,0.22727272727272727,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
liger...11,0,0,0.18392019594868114,NA,1,1,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
cidr...12,0.08619214528192531,0.5004331125291064,0.17054776006016165,NA,9,0.20454545454545456,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
monocle3...13,0,0,0.18392019594868114,NA,1,1,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
pcaReduce...14,0.04782788432158456,0.5631307629580161,0.1556467713484371,NA,17,0.4772727272727273,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,NA
scmap_cluster...15,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
scmap_cell...16,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
chetah...17,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
singlecellnet...18,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
garnett...19,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
singleR...20,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
cellassign...21,NA,NA,NA,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
seurat...22,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
tscan...23,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
sc3...24,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
liger...25,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
cidr...26,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
monocle3...27,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
pcaReduce...28,NA,NA,NA,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,TRUE
scmap_cluster...29,0.1231647634584013,0.5956100131566185,0.18844459036110225,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
scmap_cell...30,0.0027369411629485645,0.13926049324380332,0.15193475854547359,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
chetah...31,0.005680068797842631,0.08663392109670713,0.18519929937179805,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
singlecellnet...32,0,0,0.18392019594868114,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
garnett...33,0,0,0.18392019594868114,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
singleR...34,0,0,0.18392019594868114,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
cellassign...35,0,0,0.18392019594868114,NA,NA,NA,TRUE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
seurat...36,0,0,0.18392019594868114,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
tscan...37,0,0,0.18392019594868114,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
sc3...38,0.12415817411222517,0.5207434365227354,0.2162307221253254,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
liger...39,0,0,0.18392019594868114,NA,NA,NA,FALSE,midbrain_human,0.8634064982341507,3.0103945350578605,0.2581537043674159,0.1847191644053044,23,0.11363636363636363,0.8767844592047142,44,19531,FALSE
