method,ARI,AMI,FMI,unlabeled_pctg,supervised,assigned
scmap_cluster...1,0.6113428185084925,0.639649542779085,0.6608536565464949,0.07317073170731707,TRUE,NA
scmap_cell...2,0.17922533391968543,0.4450734560190819,0.3426091207169376,0.477416440831075,TRUE,NA
chetah...3,0.45246562142257357,0.5367918911056927,0.5177120524976528,0.16937669376693767,TRUE,NA
singlecellnet...4,0.7119088502809494,0.7347584752784451,0.748923329314226,0,TRUE,NA
garnett...5,0.0023560944727111822,0.02076793990974082,0.16350880114169986,0.3816621499548329,TRUE,NA
cellassign...6,0.586082759560491,0.6594567450524024,0.6419588352480414,0,TRUE,NA
seurat...7,0.6092935643760155,0.6957547558087842,0.6666214687744011,NA,FALSE,NA
tscan...8,0.27122558611845105,0.374649022641983,0.37170866219676846,NA,FALSE,NA
sc3...9,0.5596190717277792,0.6145240002419541,0.6265498259832752,NA,FALSE,NA
liger...10,0.5189572318437816,0.5620596661293225,0.5776705733812143,NA,FALSE,NA
scmap_cluster...11,0.7990222292597114,0.8094705154439987,0.82742518106501906,NA,TRUE,TRUE
scmap_cell...12,0.8104320740073524,0.8189605811571752,0.8372809136096568,NA,TRUE,TRUE
chetah...13,0.695779092692998,0.7512531959961519,0.7380468687673571,NA,TRUE,TRUE
singlecellnet...14,0.8156027989752586,0.8313121339874793,0.841396272048148,NA,TRUE,TRUE
garnett...15,0.012884039982796375,0.04497276364518174,0.15776486158124378,NA,TRUE,TRUE
cellassign...16,0.733628079414153,0.7576631418236554,0.7719009680724078,NA,TRUE,TRUE
seurat...17,0.7338333748809864,0.7948970026267278,0.7723511060020375,NA,FALSE,TRUE
tscan...18,0.3586378332309016,0.4517585466268929,0.4532274635731319,NA,FALSE,TRUE
sc3...19,0.6748364959434623,0.7129832523438264,0.7345300244124622,NA,FALSE,TRUE
liger...20,0.701229889173908,0.7027846353679305,0.7423513688604472,NA,FALSE,TRUE
scmap_cluster...21,0.5385112793894989,0.5893042180037558,0.5980938901528547,NA,TRUE,FALSE
scmap_cell...22,0.05959639734592941,0.29380895020936454,0.30315730415111325,NA,TRUE,FALSE
chetah...23,0.3727239675863788,0.48802400026689957,0.4466077134493764,NA,TRUE,FALSE
singlecellnet...24,0.6785617340333467,0.7044981180625405,0.7205902378920749,NA,TRUE,FALSE
garnett...25,-0.0025257544245197096,0.020858725261871842,0.2014584251246365,NA,TRUE,FALSE
cellassign...26,0.542959675415895,0.6300738533911504,0.605767294125956,NA,TRUE,FALSE
seurat...27,0.5817986435933209,0.6643786397602905,0.6454947531971522,NA,FALSE,FALSE
tscan...28,0.2447107590857828,0.35390610169556797,0.34926156062894936,NA,FALSE,FALSE
sc3...29,0.5233210428425874,0.587297624189595,0.5946205348123583,NA,FALSE,FALSE
liger...30,0.4541573052215416,0.5189562417632644,0.5216713170453233,NA,FALSE,FALSE
