method,ARI,AMI,FMI,unlabeled_pctg,assigned
scmap_cluster...1,0.6432302767593395,0.6777897861042493,0.6864003694214439,0.0871559633027523,NA
scmap_cell...2,0.32688995305364815,0.5350683893042271,0.5014628983995126,0.5279399499582986,NA
chetah...3,0.6302936804197359,0.6084222557319323,0.6763867742970725,0.1688907422852377,NA
singlecellnet...4,0.6895965302169524,0.7328330267007422,0.7286087042251204,0,NA
cellassign...5,0.48377818925535654,0.6005789299370539,0.5815868333631615,0,NA
seurat...6,0.4687283627242899,0.5891717678668258,0.5867952686738882,NA,NA
tscan...7,0.39324401954599186,0.535658928337715,0.4820200753800239,NA,NA
sc3...8,0.6440722565983187,0.7118197412084701,0.6921198309116252,NA,NA
scmap_cluster...9,0.978292729110677,0.9208223397023161,0.9831101009546965,NA,TRUE
scmap_cell...10,0.9755094079444805,0.9098261820147592,0.9809572638694447,NA,TRUE
chetah...11,0.9240238880816029,0.8218757631774068,0.9406937759317872,NA,TRUE
singlecellnet...12,0.9810066604005944,0.9276612566030391,0.9851991709598581,NA,TRUE
cellassign...13,0.9520852234421002,0.8603556689505127,0.9630507942514333,NA,TRUE
seurat...14,0.9277036525984864,0.8725098076148473,0.9436073130763284,NA,TRUE
tscan...15,0.6524623249902219,0.6726154528372953,0.7276729971372314,NA,TRUE
sc3...16,0.97729875966098545,0.9203717601008674,0.9823005876484794,NA,TRUE
scmap_cluster...17,0.34045065921750317,0.4122811292193967,0.4567552175894574,NA,FALSE
scmap_cell...18,0.021898614506263087,0.08428780968579849,0.4185713991886111,NA,FALSE
chetah...19,0.33015998700915405,0.35684705269918165,0.43825439830629775,NA,FALSE
singlecellnet...20,0.43112223271772004,0.49518252126886214,0.5388135519143278,NA,FALSE
cellassign...21,0.19322750949472,0.26527173384430475,0.42312861406677144,NA,FALSE
seurat...22,0.21043497310023423,0.24534789327496245,0.4685570183979795,NA,FALSE
tscan...23,0.2762055205384347,0.39255443507763793,0.41824721952882565,NA,FALSE
sc3...24,0.3843280580074443,0.4468317544678396,0.516060869671496,NA,FALSE
